CITY,REGION,STATE,ZIP-CODE,SEGMENT,SHIPMENT-MODE,ITEMS,SUB-ITEMS,QUANTITY,DISCOUNT,SALES,PROFIT
Decatur,South,AL,35601,Corporate,First Class,Office Supplies,Binders,4,0.1,17.14,9.0606
San Francisco,West,CA,94122,Consumer,Standard Class,Office Supplies,Art,6,0.1,15.3,5.1974
San Francisco,West,CA,94122,Consumer,Standard Class,Office Supplies,Storage,2,0.1,21.79,7.2285
Durham,South,NC,27707,Corporate,Standard Class,Office Supplies,Envelopes,8,0.3,201.384,63.8329
Chicago,Central,IL,60623,Home Office,First Class,Office Supplies,Storage,4,0.3,230.776,-47.9295
Columbia,South,SC,29203,Consumer,Second Class,Furniture,Chairs,3,0.1,302.36,34.241
Rochester,Central,MN,55901,Consumer,Standard Class,Technology,Accessories,2,0.1,20.39,7.822
Rochester,Central,MN,55901,Consumer,Standard Class,Office Supplies,Labels,3,0.1,6.56,3.9822
Houston,Central,TX,77095,Home Office,Second Class,Office Supplies,Storage,8,0.3,158.768,14.8826
Los Angeles,West,CA,90036,Corporate,Standard Class,Office Supplies,Art,4,0.1,20.5,7.6584
Los Angeles,West,CA,90036,Corporate,Standard Class,Technology,Phones,3,0.3,73.984,9.3036
Los Angeles,West,CA,90036,Corporate,Standard Class,Office Supplies,Paper,2,0.1,6.88,4.1358
Minneapolis,Central,MN,55407,Consumer,Second Class,Office Supplies,Paper,3,0.1,13.36,7.2462
Minneapolis,Central,MN,55407,Consumer,Second Class,Furniture,Furnishings,4,0.1,53.74,17.5608
Minneapolis,Central,MN,55407,Consumer,Second Class,Office Supplies,Binders,3,0.1,33.36,17.1758
Portland,West,OR,97206,Home Office,Standard Class,Office Supplies,Binders,2,0.8,6.082,-2.7626
New York City,East,NY,10009,Home Office,Second Class,Furniture,Furnishings,8,0.1,96.93,41.568
San Francisco,West,CA,94122,Consumer,First Class,Office Supplies,Binders,4,0.3,51.712,18.9846
Saint Paul,Central,MN,55106,Corporate,Standard Class,Office Supplies,Appliances,7,0.1,78.28,23.6106
Chicago,Central,IL,60610,Home Office,Standard Class,Office Supplies,Paper,8,0.3,65.024,23.6438
Chicago,Central,IL,60610,Home Office,Standard Class,Technology,Accessories,4,0.3,96.376,-9.7719
Chicago,Central,IL,60610,Home Office,Standard Class,Office Supplies,Binders,4,0.9,2.188,-2.0142
Rochester,Central,MN,55901,Consumer,Second Class,Office Supplies,Paper,5,0.1,24.32,12.7462
Aurora,West,CO,80013,Consumer,Standard Class,Technology,Accessories,7,0.3,239.296,-25.8504
Aurora,West,CO,80013,Consumer,Standard Class,Furniture,Furnishings,4,0.3,102.76,-2.8131
Aurora,West,CO,80013,Consumer,Standard Class,Office Supplies,Binders,4,0.8,37.282,-24.792
Charlotte,South,NC,28205,Consumer,Standard Class,Technology,Accessories,9,0.3,74.512,18.627
Charlotte,South,NC,28205,Consumer,Standard Class,Technology,Phones,2,0.3,28.392,3.1248
Charlotte,South,NC,28205,Consumer,Standard Class,Office Supplies,Art,2,0.3,3.704,2.0992
Orland Park,Central,IL,60462,Home Office,Standard Class,Technology,Accessories,6,0.3,340.36,69.0174
New York City,East,NY,10035,Corporate,Standard Class,Furniture,Furnishings,3,0.1,42.36,11.935
Urbandale,Central,IA,50322,Consumer,Standard Class,Office Supplies,Art,3,0.1,76.36,23.8134
Urbandale,Central,IA,50322,Consumer,Standard Class,Office Supplies,Binders,7,0.1,27.64,14.373
Columbus,East,OH,43229,Consumer,Second Class,Office Supplies,Fasteners,15,0.3,40.496,15.5602
Columbus,East,OH,43229,Consumer,Second Class,Office Supplies,Envelopes,3,0.3,5.12,2.6774
Columbus,East,OH,43229,Consumer,Second Class,Office Supplies,Paper,4,0.3,24.376,8.5179
Columbus,East,OH,43229,Consumer,Second Class,Office Supplies,Envelopes,7,0.3,130.864,45.057
Seattle,West,WA,98103,Consumer,Standard Class,Furniture,Tables,4,0.1,787.93,166.4067
Bristol,South,TN,37620,Corporate,Standard Class,Office Supplies,Binders,2,0.8,158.194,-114.6902
Wilmington,East,DE,19805,Consumer,First Class,Furniture,Furnishings,4,0.1,47.44,19.371
Wilmington,East,DE,19805,Consumer,First Class,Office Supplies,Binders,5,0.1,31.24,14.9034
Wilmington,East,DE,19805,Consumer,First Class,Office Supplies,Storage,7,0.1,226.96,64.4622
Wilmington,East,DE,19805,Consumer,First Class,Office Supplies,Envelopes,10,0.1,115.42,52.7844
Wilmington,East,DE,19805,Consumer,First Class,Technology,Phones,8,0.1,68.44,20.757
Houston,Central,TX,77041,Home Office,Second Class,Furniture,Chairs,4,0.4,600.958,-7.554
Bloomington,Central,IL,61701,Consumer,Standard Class,Furniture,Tables,7,0.6,618.1,-406.6566
Phoenix,West,AZ,85023,Consumer,Standard Class,Office Supplies,Binders,3,0.8,2.788,-0.8054
Phoenix,West,AZ,85023,Consumer,Standard Class,Office Supplies,Storage,8,0.3,244.392,31.5244
Los Angeles,West,CA,90004,Home Office,Second Class,Furniture,Chairs,3,0.3,81.824,-8.1348
Los Angeles,West,CA,90004,Home Office,Second Class,Furniture,Furnishings,4,0.1,238.96,27.267
Columbus,East,OH,43229,Corporate,First Class,Technology,Phones,6,0.5,60.37,-10.9686
Columbus,East,OH,43229,Corporate,First Class,Office Supplies,Paper,3,0.3,78.704,30.3894
Columbus,East,OH,43229,Corporate,First Class,Office Supplies,Fasteners,10,0.3,21.856,7.9986
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Paper,4,0.1,20.44,10.6446
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Paper,2,0.1,35.84,17.6822
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Art,5,0.1,11.92,4.4814
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Fasteners,3,0.1,4.42,2.9952
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Binders,4,0.3,76.576,27.687
Roseville,West,CA,95661,Consumer,Standard Class,Office Supplies,Supplies,7,0.1,66.28,19.4718
Roseville,West,CA,95661,Consumer,Standard Class,Furniture,Furnishings,15,0.1,43.52,21.723
Philadelphia,East,PA,19140,Corporate,Second Class,Furniture,Furnishings,3,0.3,83.2,11.3754
San Francisco,West,CA,94122,Corporate,Standard Class,Office Supplies,Art,4,0.1,9.22,3.4068
San Francisco,West,CA,94122,Corporate,Standard Class,Office Supplies,Envelopes,4,0.1,11.26,6.1296
San Francisco,West,CA,94122,Corporate,Standard Class,Office Supplies,Paper,4,0.1,144.1,70.0014
Independence,Central,MO,64055,Consumer,Standard Class,Office Supplies,Appliances,4,0.1,839.83,219.2772
Pasadena,West,CA,91104,Consumer,Standard Class,Office Supplies,Storage,8,0.1,672.33,21.1833
Newark,East,OH,43055,Home Office,Standard Class,Furniture,Furnishings,5,0.3,94.288,13.935
Franklin,Central,WI,53132,Corporate,Standard Class,Technology,Phones,12,0.1,384.85,104.8269
Franklin,Central,WI,53132,Corporate,Standard Class,Technology,Phones,4,0.1,150.37,7.0242
Franklin,Central,WI,53132,Corporate,Standard Class,Furniture,Chairs,9,0.1,1952.24,586.5774
Franklin,Central,WI,53132,Corporate,Standard Class,Office Supplies,Binders,6,0.1,171.95,81.6539
Scottsdale,West,AZ,85254,Home Office,First Class,Office Supplies,Appliances,6,0.3,158.32,18.7914
Scottsdale,West,AZ,85254,Home Office,First Class,Technology,Phones,3,0.3,203.584,16.2642
San Jose,West,CA,95123,Corporate,First Class,Office Supplies,Paper,8,0.1,58.78,27.2964
San Jose,West,CA,95123,Corporate,First Class,Office Supplies,Paper,5,0.1,105.92,49.5646
San Jose,West,CA,95123,Corporate,First Class,Office Supplies,Storage,7,0.1,81.28,22.0542
Seattle,West,WA,98105,Home Office,Standard Class,Office Supplies,Art,4,0.1,7.03,2.8155
Seattle,West,WA,98115,Consumer,Second Class,Furniture,Chairs,3,0.3,457.968,52.5018
Edmond,Central,OK,73034,Consumer,Standard Class,Office Supplies,Labels,3,0.1,15.02,7.8968
Edmond,Central,OK,73034,Consumer,Standard Class,Technology,Phones,8,0.1,945.33,237.2579
Los Angeles,West,CA,90045,Consumer,First Class,Office Supplies,Paper,2,0.1,6.38,3.7164
Philadelphia,East,PA,19134,Consumer,Second Class,Technology,Accessories,3,0.3,54.784,2.385
Carlsbad,West,NM,88220,Consumer,Standard Class,Office Supplies,Envelopes,6,0.1,28.8,14.3734
Seattle,West,WA,98115,Consumer,Standard Class,Office Supplies,Binders,3,0.3,28.08,10.7134
San Antonio,Central,TX,78207,Consumer,Standard Class,Office Supplies,Art,4,0.3,10.336,3.7578
San Antonio,Central,TX,78207,Consumer,Standard Class,Technology,Machines,9,0.5,8160.352,-1358.9666
San Antonio,Central,TX,78207,Consumer,Standard Class,Office Supplies,Storage,4,0.3,276.328,-57.6093
San Antonio,Central,TX,78207,Consumer,Standard Class,Furniture,Chairs,10,0.4,1740.46,-23.8326
San Antonio,Central,TX,78207,Consumer,Standard Class,Office Supplies,Art,7,0.3,32.464,7.839
San Antonio,Central,TX,78207,Consumer,Standard Class,Office Supplies,Appliances,6,0.9,178.38,-452.8236
San Antonio,Central,TX,78207,Consumer,Standard Class,Technology,Phones,4,0.3,144.376,10.0239
Los Angeles,West,CA,90004,Consumer,Standard Class,Office Supplies,Paper,4,0.1,21.34,10.8672
Los Angeles,West,CA,90004,Consumer,Standard Class,Office Supplies,Paper,3,0.1,111.36,54.2862
Los Angeles,West,CA,90004,Consumer,Standard Class,Furniture,Chairs,8,0.3,340.544,22.2844
Chicago,Central,IL,60623,Corporate,Standard Class,Office Supplies,Appliances,3,0.9,52.848,-130.0946
Chicago,Central,IL,60623,Corporate,Standard Class,Office Supplies,Labels,5,0.3,20.56,7.5774
Houston,Central,TX,77036,Consumer,Second Class,Office Supplies,Appliances,5,0.9,97.664,-242.1346
Newark,East,OH,43055,Consumer,Second Class,Furniture,Chairs,8,0.4,397.202,-10.3118
Newark,East,OH,43055,Consumer,Second Class,Office Supplies,Supplies,6,0.3,16.28,-2.7461
New York City,East,NY,10009,Home Office,Standard Class,Office Supplies,Art,2,0.1,3.68,2.4358
Decatur,Central,IL,62521,Corporate,Second Class,Office Supplies,Storage,3,0.3,25.216,2.8866
Decatur,Central,IL,62521,Corporate,Second Class,Technology,Accessories,8,0.3,409.144,77.6649
Monroe,South,LA,71203,Home Office,Second Class,Technology,Phones,5,0.1,504.36,132.055
Monroe,South,LA,71203,Home Office,Second Class,Technology,Phones,6,0.1,150.35,43.0114
Monroe,South,LA,71203,Home Office,Second Class,Technology,Accessories,3,0.1,29.4,8.2754
Fairfield,East,CT,6824,Consumer,Standard Class,Office Supplies,Binders,3,0.1,7.56,4.4622
Los Angeles,West,CA,90032,Home Office,Standard Class,Technology,Accessories,9,0.1,177.2,24.0094
Grand Prairie,Central,TX,75051,Corporate,Standard Class,Office Supplies,Storage,4,0.3,37.624,4.7478
Grand Prairie,Central,TX,75051,Corporate,Standard Class,Office Supplies,Paper,4,0.3,20.416,7.2804
New York City,East,NY,10035,Home Office,First Class,Furniture,Bookcases,5,0.3,899.536,113.4174
New York City,East,NY,10035,Home Office,First Class,Technology,Phones,7,0.1,72.16,21.1182
New York City,East,NY,10035,Home Office,First Class,Office Supplies,Paper,9,0.1,52.24,25.9086
New York City,East,NY,10035,Home Office,First Class,Furniture,Bookcases,4,0.3,626.752,48.0018
New York City,East,NY,10035,Home Office,First Class,Office Supplies,Art,6,0.1,20.3,7.5924
Redlands,West,CA,92374,Corporate,Standard Class,Office Supplies,Envelopes,8,0.1,14.68,7.737
Hamilton,East,OH,45011,Consumer,Standard Class,Office Supplies,Art,3,0.3,7.808,2.2292
Hamilton,East,OH,45011,Consumer,Standard Class,Office Supplies,Art,4,0.3,6.448,2.613
Westfield,East,NJ,7090,Home Office,Standard Class,Office Supplies,Storage,4,0.1,46.66,13.053
Philadelphia,East,PA,19120,Corporate,Standard Class,Office Supplies,Binders,3,0.8,3.346,-1.2332
Philadelphia,East,PA,19120,Corporate,Standard Class,Office Supplies,Paper,4,0.3,16.456,6.8457
Akron,East,OH,44312,Consumer,Standard Class,Office Supplies,Paper,4,0.3,22.144,7.8204
Denver,West,CO,80219,Consumer,First Class,Furniture,Tables,3,0.6,219.15,-160.8496
Denver,West,CO,80219,Consumer,First Class,Office Supplies,Appliances,2,0.3,3,1.3179
Dallas,Central,TX,75220,Consumer,Second Class,Office Supplies,Appliances,3,0.9,66.684,-177.9414
Franklin,South,TN,37064,Corporate,Standard Class,Furniture,Furnishings,8,0.3,35.568,10.6966
Whittier,West,CA,90604,Consumer,Standard Class,Technology,Phones,5,0.3,445.168,45.5022
Saginaw,Central,MI,48601,Consumer,Standard Class,Office Supplies,Storage,5,0.1,84.32,6.8998
Saginaw,Central,MI,48601,Consumer,Standard Class,Technology,Phones,3,0.1,132.38,36.66
Saginaw,Central,MI,48601,Consumer,Standard Class,Office Supplies,Binders,5,0.1,16.32,8.5078
Saginaw,Central,MI,48601,Consumer,Standard Class,Office Supplies,Fasteners,10,0.1,52.69,17.2353
Saginaw,Central,MI,48601,Consumer,Standard Class,Office Supplies,Storage,2,0.1,92.39,4.705
Dallas,Central,TX,75220,Corporate,Second Class,Technology,Accessories,3,0.3,21.2,7.5254
Medina,East,OH,44256,Corporate,Standard Class,Office Supplies,Labels,3,0.3,24.08,9.9054
Medina,East,OH,44256,Corporate,Standard Class,Furniture,Bookcases,6,0.6,452.85,-243.2976
Medina,East,OH,44256,Corporate,Standard Class,Technology,Phones,4,0.5,63.382,-13.6704
Medina,East,OH,44256,Corporate,Standard Class,Technology,Machines,10,0.8,1188.4,-949.3746
Medina,East,OH,44256,Corporate,Standard Class,Technology,Accessories,3,0.3,89.984,5.5046
Los Angeles,West,CA,90032,Consumer,Standard Class,Office Supplies,Storage,7,0.1,93.46,27.0822
Los Angeles,West,CA,90032,Consumer,Standard Class,Technology,Phones,4,0.3,302.776,23.7036
Dublin,East,OH,43017,Consumer,First Class,Office Supplies,Fasteners,3,0.3,5.984,2.8402
Dublin,East,OH,43017,Consumer,First Class,Office Supplies,Paper,7,0.3,23.104,9.2556
Dublin,East,OH,43017,Consumer,First Class,Office Supplies,Binders,5,0.8,20.176,-12.8178
Dublin,East,OH,43017,Consumer,First Class,Furniture,Furnishings,5,0.3,73.104,20.1102
Dublin,East,OH,43017,Consumer,First Class,Technology,Machines,5,0.8,480.388,-382.965
Dublin,East,OH,43017,Consumer,First Class,Office Supplies,Art,3,0.3,27.568,3.7422
Detroit,Central,MI,48227,Corporate,Standard Class,Office Supplies,Art,2,0.1,2.6,1.9934
Detroit,Central,MI,48227,Corporate,Standard Class,Furniture,Tables,6,0.1,622.85,137.9644
Detroit,Central,MI,48227,Corporate,Standard Class,Office Supplies,Storage,2,0.1,22.38,1.2452
Columbia,South,TN,38401,Consumer,Standard Class,Furniture,Chairs,3,0.3,161.968,-27.249
Columbia,South,TN,38401,Consumer,Standard Class,Furniture,Chairs,9,0.3,390.096,44.8662
Charlotte,South,NC,28205,Corporate,Standard Class,Office Supplies,Binders,8,0.8,19.048,-11.4066
Tampa,South,FL,33614,Home Office,Standard Class,Furniture,Tables,3,0.55,234.26,-101.0226
Tampa,South,FL,33614,Home Office,Standard Class,Furniture,Tables,4,0.55,621.0145,-247.2204
Tampa,South,FL,33614,Home Office,Standard Class,Office Supplies,Binders,3,0.8,5.728,-2.5266
Tampa,South,FL,33614,Home Office,Standard Class,Furniture,Furnishings,4,0.3,258.472,1.0254
Tampa,South,FL,33614,Home Office,Standard Class,Technology,Accessories,4,0.3,618.376,-6.6993
Santa Clara,West,CA,95051,Corporate,Standard Class,Office Supplies,Paper,3,0.1,10.96,5.7774
Chicago,Central,IL,60610,Consumer,Second Class,Office Supplies,Paper,6,0.3,26.32,10.4214
Chicago,Central,IL,60610,Consumer,Second Class,Furniture,Furnishings,6,0.7,420.08,-355.7026
Chicago,Central,IL,60610,Consumer,Second Class,Furniture,Furnishings,4,0.7,12.088,-3.6498
Chicago,Central,IL,60610,Consumer,Second Class,Technology,Phones,3,0.3,32.384,12.2198
Chicago,Central,IL,60610,Consumer,Second Class,Furniture,Tables,6,0.6,177.625,-119.4876
Chicago,Central,IL,60610,Consumer,Second Class,Furniture,Furnishings,4,0.7,4.444,-1.8054
Chicago,Central,IL,60610,Consumer,Second Class,Office Supplies,Art,3,0.3,7.808,2.2292
Lakeville,Central,MN,55044,Home Office,Second Class,Furniture,Chairs,8,0.1,2002.26,581.5648
Lakeville,Central,MN,55044,Home Office,Second Class,Office Supplies,Storage,3,0.1,167.12,42.7054
Lakeville,Central,MN,55044,Home Office,Second Class,Office Supplies,Paper,7,0.1,48.28,24.9654
Lakeville,Central,MN,55044,Home Office,Second Class,Office Supplies,Appliances,6,0.1,1503.65,497.0979
Lakeville,Central,MN,55044,Home Office,Second Class,Office Supplies,Paper,5,0.1,26.32,13.467
San Francisco,West,CA,94109,Consumer,Second Class,Furniture,Chairs,3,0.3,321.968,29.1626
San Diego,West,CA,92037,Consumer,Standard Class,Office Supplies,Paper,2,0.1,8.01,4.6021
San Diego,West,CA,92037,Consumer,Standard Class,Technology,Accessories,14,0.1,3347.77,637.0257
New York City,East,NY,10024,Consumer,First Class,Office Supplies,Storage,7,0.1,80.98,23.5878
New York City,East,NY,10024,Consumer,First Class,Office Supplies,Envelopes,5,0.1,362.32,163.8894
Chicago,Central,IL,60623,Corporate,Standard Class,Furniture,Furnishings,10,0.7,12.532,-7.467
Chicago,Central,IL,60623,Corporate,Standard Class,Office Supplies,Storage,3,0.3,82.768,-18.537
Chicago,Central,IL,60623,Corporate,Standard Class,Office Supplies,Storage,6,0.3,54.32,5.0694
Chicago,Central,IL,60623,Corporate,Standard Class,Technology,Phones,7,0.3,648.304,57.717
New York City,East,NY,10009,Consumer,Second Class,Technology,Accessories,4,0.1,20.77,7.9512
New York City,East,NY,10009,Consumer,Second Class,Office Supplies,Storage,4,0.1,221.95,7.6719
New York City,East,NY,10009,Consumer,Second Class,Office Supplies,Binders,6,0.3,17.92,7.1574
Pasadena,Central,TX,77506,Corporate,Standard Class,Office Supplies,Appliances,3,0.9,2.024,-3.4406
Houston,Central,TX,77036,Corporate,Second Class,Technology,Machines,4,0.5,3060.382,-508.9716
Houston,Central,TX,77036,Corporate,Second Class,Technology,Machines,8,0.5,2520.358,-250.9704
Chicago,Central,IL,60610,Consumer,Standard Class,Technology,Phones,5,0.3,328.624,29.745
Brentwood,West,CA,94513,Consumer,Standard Class,Technology,Accessories,3,0.1,80.3,36.1814
Chapel Hill,South,NC,27514,Corporate,Standard Class,Office Supplies,Art,4,0.3,14.416,5.7558
Morristown,East,NJ,7960,Consumer,Standard Class,Office Supplies,Fasteners,7,0.1,7.96,1.3278
Cincinnati,East,OH,45231,Corporate,Standard Class,Office Supplies,Storage,2,0.3,37.608,-6.4162
Cincinnati,East,OH,45231,Corporate,Standard Class,Office Supplies,Envelopes,4,0.3,57.976,22.6164
San Francisco,West,CA,94110,Corporate,Second Class,Office Supplies,Storage,5,0.1,726.24,211.519
San Francisco,West,CA,94109,Consumer,First Class,Technology,Accessories,8,0.1,210.33,93.3946
San Francisco,West,CA,94109,Consumer,First Class,Furniture,Furnishings,4,0.1,5.68,3.3486
San Francisco,West,CA,94109,Consumer,First Class,Office Supplies,Binders,4,0.3,11.32,5.1204
Inglewood,West,CA,90301,Corporate,First Class,Office Supplies,Paper,3,0.1,9.22,5.0826
Inglewood,West,CA,90301,Corporate,First Class,Office Supplies,Art,2,0.1,6.38,2.5802
Philadelphia,East,PA,19140,Corporate,Standard Class,Office Supplies,Paper,3,0.3,12.048,5.1022
Philadelphia,East,PA,19140,Corporate,Standard Class,Office Supplies,Paper,5,0.3,18.576,6.9326
